timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732725061706,432,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-4,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,432,0,0
1732725062008,286,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-17,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,286,0,0
1732725058061,4255,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-19,text,true,,5569,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4255,0,0
1732725057787,4528,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-19,,true,,6568,1277,30,30,null,4528,2,0
1732725058293,4058,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-24,text,true,,6105,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4058,0,0
1732725057794,4556,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-24,,true,,7104,1277,30,30,null,4556,2,0
1732725058294,4070,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-22,text,true,,5739,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4070,0,0
1732725057797,4566,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-22,,true,,6738,1277,30,30,null,4566,2,0
1732725057904,4481,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-18,text,true,,6027,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,4481,0,0
1732725057595,4790,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-18,,true,,7026,1277,30,30,null,4790,0,0
1732725058746,3758,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,200,OK,Thread Group 1-30,text,true,,6074,724,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/explore-post?size=10&page=1,3757,0,0
1732725057938,4564,LoginTest,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-30,,true,,7073,1277,30,30,null,4563,2,0
1732725062317,190,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,200,OK,Thread Group 1-19,text,true,,999,553,30,30,https://photo-sharing-api-bootcamp.do.dibimbing.id/api/v1/login,190,0,0
